File;Translation key;en;nl;de;fr;it;sv;no;es;da;ru;pl
.homeycompose\flow\triggers\alarm_mold_risk_true.json;title;Mold risk alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_pm1_false.json;title;PM1 alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_pm1_true.json;title;PM1 alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_radon_false.json;title;Radon alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_radon_true.json;title;Radon alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_temperature_false.json;title;Temperature alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_temperature_true.json;title;Temperature alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\alarm_voc_false.json;title;VOC alarm turned off;;;;;;;;;;
.homeycompose\flow\triggers\alarm_voc_true.json;title;VOC alarm turned on;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;title;The mold risk value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;titleFormatted;The mold risk value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_mold_risk_changed.json;tokens[0].title;Mold risk;;;;;;;;;;
.homeycompose\flow\triggers\measure_pm1_changed.json;title;The PM1 value has changed;De PM1 waarde is veranderd;Der PM1-Wert hat sich geändert;La valeur PM1 a changé;Il valore di PM1 è cambiato;PM1-värdet har ändrats;PM1-verdien er endret;El valor de PM1 ha cambiado;PM1-værdien har ændret sig;Значение ТЧ 1 изменилось;Zmiana poziomu stężenia PM1
.homeycompose\flow\triggers\measure_pm1_changed.json;titleFormatted;The PM1 value has changed;De PM1 waarde is veranderd;Der PM1-Wert hat sich geändert;La valeur PM1 a changé;Il valore di PM1 è cambiato;PM1-värdet har ändrats;PM1-verdien er endret;El valor de PM1 ha cambiado;PM1-værdien har ændret sig;Значение ТЧ 1 изменилось;Zmiana poziomu stężenia PM1
.homeycompose\flow\triggers\measure_pm1_changed.json;tokens[0].title;PM1;PM1;PM1;PM1;PM1;PM1;PM1;PM1;;ТЧ 1;PM1
.homeycompose\flow\triggers\measure_radon_changed.json;title;The Radon radiation value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_radon_changed.json;titleFormatted;The Radon radiation value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_radon_changed.json;tokens[0].title;Radon radiation;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;title;The VOC value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;titleFormatted;The VOC value has changed;;;;;;;;;;
.homeycompose\flow\triggers\measure_voc_changed.json;tokens[0].title;VOC concentration;;;;;;;;;;
drivers\cloud_view_series\driver.compose.json;name;View Series;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[0].label;Radon;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[1].label;CO2;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[2].label;VOC;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[3].label;PM2.5;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[4].label;PM1;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[5].label;Humidity;;;;;;;;;;
drivers\cloud_view_series\driver.settings.compose.json;[6].label;Temperature;;;;;;;;;;
drivers\cloud_wave_series\driver.compose.json;name;Wave Series;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[0].label;Mold risk;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[1].label;Radon;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[2].label;CO2;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[3].label;VOC;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[4].label;Humidity;;;;;;;;;;
drivers\cloud_wave_series\driver.settings.compose.json;[5].label;Temperature;;;;;;;;;;
